,name,sex,date_of_birth,email_address,,geography,postcode,ethnic_group,nationality,highest_level_of_qualifications,employment_status,industry,occupation,,,,,,,,,,,,
21,Christian Kaur,male,18-08-1983,christian_kaur83@451ed.williams.com,,East,SG18 8DY,White,United Kingdom,No qualifications,Employee: Full-time,"G. Wholesale, retail & repair of motor vehicles",5. Skilled trades occupations,,,,,,,,,,,,
22,Kirsty Berry,female,12-06-1939,kirsty-berry39@13b73.ward-moore.com,,Yorkshire and The Humber,DN20 0SA,White,United Kingdom,No qualifications,Retired,Other,Other,,,,,,,,,,,,
23,Sophie Fitzgerald,female,01-08-1972,sophie.fitzgerald1972@9a55a.dobson.com,,North East,DL16 7BF,White,United Kingdom,Level 2,Unemployed,Other,Other,,,,,,,,,,,,
24,Samuel Bell,male,24-02-1999,s_bell99@8bfa8.yahoo.com,,Northern Ireland,BT5 6BW,White,United Kingdom,Level 4 or above,Employee: Part-time,"G. Wholesale, retail & repair of motor vehicles",5. Skilled trades occupations,,,,,,,,,,,,
25,Irene Steele,female,31-01-1977,irenesteele1977@fddb2.smith.com,,London,CR7 7RA,White,United Kingdom,Level 1,Employee: Full-time,K. Financial & insurance activities,3. Associate professional and technical occupat...,,,,,,,,,,,,
26,Georgina Ball,female,18-05-1951,b_georgina5809@1902c.smith.biz,,East Midlands,DE6 1BL,White,United Kingdom,No qualifications,Retired,Other,Other,,,,,,,,,,,,
27,Ian Fletcher,male,06-05-1989,fletcher-ian1989@eef99.yahoo.com,,North West,WA4 4PJ,White,United Kingdom,Level 2,Other,Other,Other,,,,,,,,,,,,
28,Mark Williams,male,08-11-2018,mark-williams@b37ff.daly-davies.net,,South East,SL4 1QP,White,United Kingdom,No qualifications,Other,Other,Other,,,,,,,,,,,,
29,Amelia Smith,female,27-05-1970,amelia.smith70@f7ace.edwards.info,,Scotland,IV2 3DL,White,United Kingdom,Level 2,Employee: Full-time,F. Construction,2. Professional occupations,,,,,,,,,,,,
30,Vanessa Rice,female,09-11-1950,vanessa.rice3966@7306e.gmail.com,,Scotland,DG6 4AF,White,United Kingdom,Level 4 or above,Retired,Other,Other,,,,,,,,,,,,
31,Edward Smith,male,16-09-2009,smith-e@893fc.outlook.com,,East,CM17 0DJ,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
32,Charlene Sanders,female,24-07-1984,s.charlene@894b7.hotmail.co.uk,,South East,RH11 7UE,White,United Kingdom,Level 4 or above,Employee: Full-time,C. Manufacturing,3. Associate professional and technical occupat...,,,,,,,,,,,,
33,Dale Frost,male,25-12-1966,frost_dale66@8e4ba.yahoo.co.uk,,North West,L8 0TD,White,United Kingdom,No qualifications,Employee: Full-time,Q. Human health & social work activities,3. Associate professional and technical occupat...,,,,,,,,,,,,
34,Lauren Jones,female,02-09-1962,lauren-jones@5a703.hotmail.com,,East,SG11 1LP,White,United Kingdom,Other qualifications,Employee: Part-time,Q. Human health & social work activities,3. Associate professional and technical occupat...,,,,,,,,,,,,
35,Lynne Parker,female,31-08-1975,p.lynne1975@45155.williams.com,,Yorkshire and The Humber,LS6 4NY,White,United Kingdom,Level 4 or above,Employee: Full-time,Q. Human health & social work activities,9. Elementary occupations,,,,,,,,,,,,
36,Judith Moore,female,24-03-2000,judithmoore4887@a899c.davis-mitchell.com,,South East,BN2 1TT,White,United Kingdom,Level 3,Full-time student,Other,Other,,,,,,,,,,,,
37,Mohamed Hill,male,22-09-2011,m.hill2011@fd76e.dawson.com,,North West,CW2 8JR,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
38,Samuel Williams,male,16-04-1997,williams-s97@5f03f.richards.com,,London,W4 3EL,Black / African / Caribbean / Black British,United Kingdom,Level 2,Other,Other,Other,,,,,,,,,,,,
39,Sarah Clark,female,30-08-1984,sarah.clark9609@a0732.gmail.com,,Wales,CF44 6TY,White,United Kingdom,Level 2,Other,Other,Other,,,,,,,,,,,,
40,Kim O'Connor,female,28-04-2002,o'connorkim02@ea13e.yahoo.com,,East,PE29 2LD,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
41,Marcus Baker,male,14-09-1972,baker.marcus8327@38b09.martin-phillips.info,,Wales,LD3 7UL,White,United Kingdom,Other qualifications,Employee: Full-time,C. Manufacturing,2. Professional occupations,,,,,,,,,,,,
42,Mohamed Smith,male,21-01-2004,smith.m04@a5436.gregory-potts.com,,London,TW9 4AT,Other Ethnic Group,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
43,Megan O'Brien,female,11-04-1980,megan.o'brien3102@3d6a5.outlook.com,,North West,SK7 4HA,White,United Kingdom,No qualifications,Other,Other,Other,,,,,,,,,,,,
44,Jay Hooper,male,26-06-1992,jay.h@abd7d.randall-john.org,,London,DA6 8AJ,White,United Kingdom,Level 2,Unemployed,Other,Other,,,,,,,,,,,,
45,Garry McLean,male,02-03-1995,mcleangarry1995@4658a.slater.com,,South East,SL3 9AB,White,United Kingdom,Other qualifications,Employee: Part-time,H. Transport & storage,9. Elementary occupations,,,,,,,,,,,,
46,Carole Kelly,female,20-11-2004,carole_k6627@6a2d5.ahmed-smith.org,,South East,GU35 0TT,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
47,Eileen Mason,female,10-05-2001,emason2001@b1014.lloyd.com,,North West,WA8 0QR,Other Ethnic Group,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
48,Amanda Reed,female,09-10-2004,amanda.reed@9b1b0.hotmail.co.uk,,West Midlands,WS11 0EP,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
49,Jacqueline Ball,female,03-02-1931,jball7138@ea69b.gill-martin.co.uk,,London,RM1 1BW,Asian / Asian British: Pakistani,United Kingdom,Other qualifications,Retired,Other,Other,,,,,,,,,,,,
50,Thomas Scott,male,13-01-1933,t-scott33@4b738.wilson.org,,South East,GU6 8TH,White,United Kingdom,Level 3,Retired,Other,Other,,,,,,,,,,,,
51,Lee Whitehead,male,26-08-1981,wlee@28bef.flynn.net,,West Midlands,WS4 1DQ,White,United Kingdom,Level 2,Employee: Part-time,Q. Human health & social work activities,2. Professional occupations,,,,,,,,,,,,
52,John Lloyd,male,15-01-1998,john-lloyd@59de4.atkinson.biz,,Northern Ireland,BT35 9NA,White,United Kingdom,Level 4 or above,Homemaker,Other,Other,,,,,,,,,,,,
53,Brett Taylor,male,13-06-1993,brett.taylor93@e36ed.walker.com,,Yorkshire and The Humber,S63 6AJ,White,United Kingdom,Level 1,Unemployed,Other,Other,,,,,,,,,,,,
54,Leonard West,male,23-11-2019,leonardw2019@b3136.outlook.com,,East,CM22 7NE,White,United Kingdom,No qualifications,Other,Other,Other,,,,,,,,,,,,
55,Anne White,female,06-03-1972,w.anne1972@2bd75.freeman.biz,,Yorkshire and The Humber,BD12 7BA,Asian / Asian British: Indian,United Kingdom,Level 4 or above,Other,Other,Other,,,,,,,,,,,,
56,Paige Hayes,female,09-11-1987,p_hayes1987@76ce6.yahoo.co.uk,,South East,CT2 7SG,White,United Kingdom,Level 3,Self-employed,J. Information & communication,3. Associate professional and technical occupat...,,,,,,,,,,,,
57,Jenna Patel,female,17-04-1970,jenna_patel1970@b6fb2.hotmail.com,,Yorkshire and The Humber,HG3 2QX,White,United Kingdom,No qualifications,Other,Other,Other,,,,,,,,,,,,
58,Ann Birch,female,07-02-1986,annb1986@60878.yahoo.co.uk,,London,TW8 9NY,Black / African / Caribbean / Black British,United Kingdom,Level 4 or above,Other,Other,Other,,,,,,,,,,,,
59,Patrick Smith,male,28-06-1958,patricksmith2988@d5fca.kirby-webster.com,,Yorkshire and The Humber,LS17 8UF,White,United Kingdom,Level 3,Employee: Full-time,Q. Human health & social work activities,3. Associate professional and technical occupat...,,,,,,,,,,,,
60,Mary Williams,female,09-11-2017,williams-mary8426@8e3f4.williams-cooke.com,,East Midlands,NN3 5HQ,White,United Kingdom,No qualifications,Other,Other,Other,,,,,,,,,,,,
61,Bethan Wilkins,female,27-10-1941,wilkinsb@8bd03.yahoo.com,,North West,FY3 7BU,White,United Kingdom,Level 3,Retired,Other,Other,,,,,,,,,,,,
62,Carol Hughes,female,09-08-2018,hughes_c@0e7d1.gmail.com,,East Midlands,DE56 2ED,White,United Kingdom,No qualifications,Other,Other,Other,,,,,,,,,,,,
63,Robin Fisher,male,18-02-1938,fisherrobin@c821b.hotmail.co.uk,,Northern Ireland,BT40 1HW,White,Bulgaria,Other qualifications,Retired,Other,Other,,,,,,,,,,,,
64,Nicholas Preston,male,29-08-1954,n-preston1954@997ce.yahoo.co.uk,,Yorkshire and The Humber,WF15 8BT,White,United Kingdom,Level 4 or above,Retired,Other,Other,,,,,,,,,,,,
65,Conor Rowley,male,08-07-2014,rowley_conor@86d9f.wheeler-williams.net,,South West,PL2 2RB,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
66,Craig Hussain,male,22-08-2010,hussain_craig10@eefc1.ashton.com,,North East,NE5 1BN,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
67,Kieran Price,male,12-06-1990,kieran-price1990@920de.hotmail.com,,Scotland,FK4 1SX,White,United Kingdom,No qualifications,Employee: Full-time,C. Manufacturing,"1. Managers, directors and senior officials",,,,,,,,,,,,
68,Molly Smith,female,13-11-1957,smith-molly7169@cb698.outlook.com,,North West,CH47 8XN,White,United Kingdom,No qualifications,Retired,Other,Other,,,,,,,,,,,,
69,Declan Roberts,male,27-08-1987,roberts.d7863@d71b7.james-white.com,,London,RM5 3BY,White,United Kingdom,Level 4 or above,Employee: Part-time,RST. Other services,3. Associate professional and technical occupat...,,,,,,,,,,,,
70,Derek Birch,male,09-01-1972,derek-birch9874@4bbdc.forster-webb.com,,South East,HP20 2BG,Gypsy / Traveller / Irish Traveller,United Kingdom,Level 4 or above,Self-employed,"BDE. Mining, energy and water supply","1. Managers, directors and senior officials",,,,,,,,,,,,
71,Christian Thompson,male,19-05-1966,thompson.christian@8b5cd.outlook.com,,Wales,LD1 5BZ,White,United Kingdom,Other qualifications,Employee: Full-time,H. Transport & storage,7. Sales and customer service occupations,,,,,,,,,,,,
72,Diane Gibbons,female,24-11-2012,diane_gibbons12@85b0d.palmer.com,,East,SS2 6BT,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
73,Terry Roberts,male,22-09-1943,terry_roberts1943@ee98e.williams-oneill.com,,London,W1D 4NQ,Asian / Asian British: Indian,United Kingdom,Level 3,Retired,Other,Other,,,,,,,,,,,,
74,June Ferguson,female,21-09-1994,ferguson-june94@5c66f.yahoo.com,,London,W1U 2NU,White,Poland,Level 4 or above,Homemaker,Other,Other,,,,,,,,,,,,
75,Gordon Edwards,male,26-12-1999,gordon_edwards456@843f1.blackburn.info,,South West,TQ7 2DA,Mixed / Multiple ethnic group,United Kingdom,Level 3,Full-time student,Other,Other,,,,,,,,,,,,
76,Jack Reid,male,27-05-1996,reid.jack96@b1cbe.yahoo.com,,Northern Ireland,BT44 8LA,White,United Kingdom,No qualifications,Employee: Part-time,"M. Professional, scientific & technical activities",8. Process plant and machine operatives,,,,,,,,,,,,
77,Suzanne Watson,female,15-10-1998,suzannewatson1998@ad33f.gordon.net,,London,SW8 2QJ,White,United Kingdom,Level 2,Employee: Part-time,J. Information & communication,"6. Caring, leisure and other service occupations",,,,,,,,,,,,
78,Allan Fuller,male,01-06-2017,allan_fuller@6fdb1.yahoo.com,,East Midlands,DE24 8UB,White,United Kingdom,No qualifications,Other,Other,Other,,,,,,,,,,,,
79,Danielle Cox,female,21-03-1940,cox-danielle@6cfc1.jennings-dawson.com,,West Midlands,WS3 1SU,White,United Kingdom,Level 2,Retired,Other,Other,,,,,,,,,,,,
80,Adam Jones,male,27-05-1946,adam-j46@0425e.wood.co.uk,,West Midlands,B97 4AJ,White,United Kingdom,No qualifications,Retired,Other,Other,,,,,,,,,,,,
81,Christopher Parker,male,29-08-1951,parkerc@9a411.poole.com,,North West,OL1 3JH,White,United Kingdom,Other qualifications,Retired,Other,Other,,,,,,,,,,,,
82,Josephine Lewis,female,08-10-1942,lewisj@54173.frost.org,,East Midlands,NG31 9RN,White,United Kingdom,No qualifications,Retired,Other,Other,,,,,,,,,,,,
83,Joyce Patel,female,24-08-2015,jpatel2028@b9ce8.gray.biz,,London,E17 7TA,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
84,Shirley James,female,16-11-1963,sjames1963@3eac2.outlook.com,,East Midlands,LE6 0AJ,White,United Kingdom,Level 4 or above,Other,Other,Other,,,,,,,,,,,,
85,Jayne Taylor,female,16-01-1994,taylor-jayne1994@da86b.hotmail.com,,North West,BL6 6SR,White,United Kingdom,Level 3,Employee: Part-time,Q. Human health & social work activities,"1. Managers, directors and senior officials",,,,,,,,,,,,
86,Alexander Franklin,male,09-04-1990,franklina6029@efd2c.dixon.com,,South East,ME17 3PT,White,United Kingdom,Level 3,Employee: Full-time,I. Accommod-ation & food services,9. Elementary occupations,,,,,,,,,,,,
87,Pauline Foster,female,19-02-2019,fosterp6186@7bff3.smith-palmer.com,,London,TW1 4EA,White,Bangladesh,No qualifications,Other,Other,Other,,,,,,,,,,,,
88,Martyn Ali,male,06-05-1960,ali_m1960@895a5.james.com,,East Midlands,NN10 6XW,Asian / Asian British: Pakistani,United Kingdom,Level 4 or above,Employee: Full-time,F. Construction,"1. Managers, directors and senior officials",,,,,,,,,,,,
89,Leigh Law,male,25-04-2012,leigh-l2012@7b0a2.barnes.co.uk,,South East,GU14 6JT,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
90,Lynn Sutton,female,28-07-1977,lynn-sutton@ddc1b.outlook.com,,Yorkshire and The Humber,DN16 1UG,White,United Kingdom,Level 2,Employee: Part-time,H. Transport & storage,2. Professional occupations,,,,,,,,,,,,
91,Nathan Turner,male,20-06-2011,nathan.t@5ee98.yahoo.co.uk,,South East,SL0 0RH,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
92,Lauren Davies,female,30-06-1973,davies.l73@50247.hotmail.com,,East,NR28 9QE,White,Hungary,Level 4 or above,Self-employed,"G. Wholesale, retail & repair of motor vehicles",3. Associate professional and technical occupat...,,,,,,,,,,,,
93,Billy Evans,male,11-04-1965,billy.evans@592eb.yahoo.co.uk,,Yorkshire and The Humber,DN14 6SJ,White,United Kingdom,Other qualifications,Self-employed,Q. Human health & social work activities,"6. Caring, leisure and other service occupations",,,,,,,,,,,,
94,Paul Woodward,male,24-05-2001,paul-w3165@c848b.hotmail.com,,London,TW5 9PD,Other Ethnic Group,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
95,Janice Clarke,female,22-10-1986,clarkejanice1986@6d5b7.outlook.com,,North East,NE23 6DX,White,United Kingdom,No qualifications,Homemaker,Other,Other,,,,,,,,,,,,
96,Pauline Armstrong,female,21-08-1939,paulinearmstrong39@83d74.gmail.com,,Scotland,PH33 6DT,White,United Kingdom,Level 3,Retired,Other,Other,,,,,,,,,,,,
97,Linda Giles,female,01-10-1985,linda_giles@1bd07.gmail.com,,Scotland,EH6 6LR,White,Germany,Level 4 or above,Employee: Part-time,H. Transport & storage,3. Associate professional and technical occupat...,,,,,,,,,,,,
98,Owen Jarvis,male,15-10-1941,o.jarvis2509@f4553.gmail.com,,Yorkshire and The Humber,HD6 1UA,White,United Kingdom,No qualifications,Retired,Other,Other,,,,,,,,,,,,
99,Gemma Clark,female,12-08-1969,clarkg@19fa3.gmail.com,,Scotland,IV12 5TF,White,United Kingdom,Level 4 or above,Employee: Full-time,O. Public admin & defence; social security,7. Sales and customer service occupations,,,,,,,,,,,,
100,Danny Baker,male,30-08-1974,dannybaker74@4492e.yahoo.co.uk,,Northern Ireland,BT46 5LL,White,United Kingdom,Level 4 or above,Employee: Full-time,F. Construction,2. Professional occupations,,,,,,,,,,,,
101,Patrick Collins,male,16-02-2008,collinspatrick2008@ecc11.stanley.co.uk,,East,IP5 1EL,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
102,Lawrence Hughes,male,20-03-1980,lawrence-h2885@43435.gmail.com,,South East,RH10 7BP,White,United Kingdom,Level 4 or above,Other,Other,Other,,,,,,,,,,,,
103,Christine Brown,female,17-02-2015,christinebrown15@08f36.daly.net,,North East,TS10 3HP,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
104,Mark Parker,male,19-09-1973,parker.mark@85b62.richards.org,,East Midlands,NG11 0LH,White,Pakistan,Level 2,Employee: Full-time,P. Education,5. Skilled trades occupations,,,,,,,,,,,,
105,Samuel Kelly,male,27-12-1970,samuel-k70@7be45.stevenson-thompson.com,,North West,L4 2RH,White,United Kingdom,Level 4 or above,Other,Other,Other,,,,,,,,,,,,
106,Natasha Norman,female,19-05-1973,n_natasha@5d269.crawford.com,,North West,WA1 3AP,White,United Kingdom,Level 3,Employee: Part-time,Q. Human health & social work activities,2. Professional occupations,,,,,,,,,,,,
107,John Johnston,male,18-12-1954,j.johnston54@abd88.hotmail.co.uk,,South East,CT10 1BD,Mixed / Multiple ethnic group,United Kingdom,Level 2,Retired,Other,Other,,,,,,,,,,,,
108,Stephanie George,female,14-12-1992,s_george92@08b34.mitchell-johnson.com,,Wales,CF31 9QE,White,Philippines,No qualifications,Employee: Full-time,Q. Human health & social work activities,8. Process plant and machine operatives,,,,,,,,,,,,
109,Paula Smith,female,14-05-1989,smith_paula89@750fd.yahoo.com,,South East,ME15 9RA,Black / African / Caribbean / Black British,United Kingdom,Level 2,Employee: Full-time,F. Construction,2. Professional occupations,,,,,,,,,,,,
110,Damien Connor,male,22-06-2008,dconnor08@8a38b.hotmail.co.uk,,South East,PO8 0TU,White,South Africa,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
111,Katy Williams,female,20-08-1952,w.katy@cc5f2.gmail.com,,Yorkshire and The Humber,S60 1FD,White,United Kingdom,Level 2,Retired,Other,Other,,,,,,,,,,,,
112,Ruth Ford,female,02-08-1949,rford49@d1de8.yahoo.com,,West Midlands,ST5 6PD,White,United Kingdom,No qualifications,Retired,Other,Other,,,,,,,,,,,,
113,Hugh Potter,male,13-01-1967,potter.hugh67@fc1d0.mills-fletcher.biz,,North West,WN7 1RZ,Asian / Asian British: Chinese,United Kingdom,Level 3,Employee: Full-time,"G. Wholesale, retail & repair of motor vehicles",2. Professional occupations,,,,,,,,,,,,
114,Iain Bibi,male,01-11-1998,bibi.i98@df700.yahoo.com,,South East,GU16 6AQ,White,United States of America,Level 4 or above,Other,Other,Other,,,,,,,,,,,,
115,Nicole Jones,female,24-04-1958,nicole-jones@d1969.hotmail.com,,Yorkshire and The Humber,S71 2AB,Asian / Asian British: Other Asian,United Kingdom,No qualifications,Retired,Other,Other,,,,,,,,,,,,
116,Marie Hill,female,01-12-1986,m.hill1986@09776.porter.com,,London,E2 2ZZ,White,United Kingdom,Level 3,Employee: Full-time,"M. Professional, scientific & technical activities",2. Professional occupations,,,,,,,,,,,,
117,Albert Griffin,male,25-06-1989,albert-griffin1989@1b223.gmail.com,,North West,M4 7DZ,White,United Kingdom,Level 2,Employee: Part-time,O. Public admin & defence; social security,4. Administrative and secretarial occupations,,,,,,,,,,,,
118,Declan Knowles,male,26-10-2004,declan-knowles04@a9de6.ellis.co.uk,,East Midlands,NN13 5NQ,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
119,Lee Marshall,male,03-02-1943,lee-m43@11903.duffy-howell.com,,East,PE14 0NW,White,United Kingdom,Level 4 or above,Retired,Other,Other,,,,,,,,,,,,
120,Danielle Williams,female,21-12-2017,williamsdanielle2017@60933.gmail.com,,East Midlands,LE3 5HA,White,United Kingdom,No qualifications,Other,Other,Other,,,,,,,,,,,,
121,James Matthews,male,13-04-2019,matthewsjames2019@e1685.hotmail.co.uk,,Northern Ireland,BT24 8UQ,White,United Kingdom,No qualifications,Other,Other,Other,,,,,,,,,,,,
122,Kim Ward,female,02-07-1971,wardk4853@6f161.barry.com,,Northern Ireland,BT15 2GF,White,United Kingdom,Level 2,Employee: Full-time,P. Education,8. Process plant and machine operatives,,,,,,,,,,,,
123,Amy Johnson,female,13-07-1983,johnsonamy83@6a5a1.hotmail.co.uk,,London,SW17 0UP,White,United Kingdom,Other qualifications,Self-employed,O. Public admin & defence; social security,"6. Caring, leisure and other service occupations",,,,,,,,,,,,
124,Molly Chambers,female,23-09-1942,chambers-m42@0fda9.gmail.com,,West Midlands,B90 1LE,White,United Kingdom,Level 1,Retired,Other,Other,,,,,,,,,,,,
125,Charlene Farrell,female,01-02-1970,charlene-f1970@6fc99.mitchell.com,,Yorkshire and The Humber,HU4 6DN,White,United Kingdom,Level 4 or above,Employee: Part-time,C. Manufacturing,"1. Managers, directors and senior officials",,,,,,,,,,,,
126,Suzanne Hughes,female,30-08-1994,s-hughes94@1d65a.harris.com,,London,E5 0BY,Black / African / Caribbean / Black British,United Kingdom,Level 4 or above,Employee: Part-time,P. Education,"1. Managers, directors and senior officials",,,,,,,,,,,,
127,Teresa Carr,female,11-10-2020,carrteresa20@bc42c.thorpe.com,,Northern Ireland,BT15 3LJ,White,United Kingdom,No qualifications,Other,Other,Other,,,,,,,,,,,,
128,Liam Bennett,male,15-06-1958,bennett.liam1958@71390.king-saunders.com,,East,NR3 4PU,White,United Kingdom,Level 3,Self-employed,"G. Wholesale, retail & repair of motor vehicles",2. Professional occupations,,,,,,,,,,,,
129,Leah Randall,female,26-06-1991,l_randall@58b0a.outlook.com,,London,BR3 4GA,White,United Kingdom,Other qualifications,Employee: Full-time,P. Education,"6. Caring, leisure and other service occupations",,,,,,,,,,,,
130,David Miller,male,07-07-1986,d_miller86@20e74.outlook.com,,London,N3 3EN,Asian / Asian British: Bangladeshi,United Kingdom,Level 2,Self-employed,N. Administrative & support services,2. Professional occupations,,,,,,,,,,,,
131,Linda Jackson,female,04-04-1999,jackson.linda589@5e97b.burgess.com,,Scotland,PA4 8HE,White,United Kingdom,No qualifications,Employee: Full-time,O. Public admin & defence; social security,3. Associate professional and technical occupat...,,,,,,,,,,,,
132,Luke Tomlinson,male,31-12-1987,luke.tomlinson@85435.gmail.com,,East,PE13 2UR,White,United Kingdom,Level 1,Employee: Part-time,"G. Wholesale, retail & repair of motor vehicles",7. Sales and customer service occupations,,,,,,,,,,,,
133,Henry Hall,male,05-11-1965,henry.h1965@bb2e6.gmail.com,,South East,PO18 9JL,White,United Kingdom,Level 2,Employee: Part-time,P. Education,2. Professional occupations,,,,,,,,,,,,
134,Marilyn Evans,female,03-01-1991,marilynevans91@78abe.hotmail.co.uk,,London,SE6 4EA,Black / African / Caribbean / Black British,United Kingdom,Level 4 or above,Employee: Full-time,O. Public admin & defence; social security,2. Professional occupations,,,,,,,,,,,,
135,Samantha Powell,female,06-08-2009,p.samantha280@81950.hotmail.co.uk,,West Midlands,B20 3BE,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
136,Nicola O'Connor,female,14-07-2020,o_nicola@e2d7e.ross-wright.co.uk,,Scotland,G5 0QB,White,United Kingdom,No qualifications,Other,Other,Other,,,,,,,,,,,,
137,Frederick Morris,male,28-08-1967,frederick-morris@ff434.fry-murray.com,,South East,RH9 8EH,White,Republic of Ireland,Level 1,Employee: Full-time,"M. Professional, scientific & technical activities",9. Elementary occupations,,,,,,,,,,,,
